fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"6k1/p4p2/6p1/6Pp/r4p1P/5N1q/3Q1K2/6R1 b - - 9 53",0,153,70,118
"rnbq1rk1/2p3pp/3Npn2/3p1p2/8/p2P1NPP/2Q2PB1/R1B2RK1 b - - 0 10",118,363,325,322
"4R3/p1pk3p/1pNb4/1P1P1P1r/5p1q/3Q1PrP/6P1/R6K w - - 14 32",333,50,181,220
"r3kb1r/2pq1ppp/bp2p3/p1n1P3/3N4/2NPQ3/PP1P1PPP/R1BR2K1 w kq - 4 10",-215,117,110,92
"2k5/2p5/1p1r1p2/2r5/1R1p3p/3P3P/5PB1/R4K2 w - - 6 36",328,3,44,64
"8/Q2Nk2p/1pp3pb/8/P2KnP2/8/7P/4q3 b - - 2 30",477,506,507,477
"1k5r/1pp3R1/p7/3B4/Pb6/3p4/R2Pnn2/1KB5 b - - 0 27",124,207,205,215
"1b1q1k1r/1p2npp1/r4n2/1N1pB1Q1/P1P5/6P1/3P2B1/R4RK1 b - - 0 20",260,46,36,36
"6k1/6p1/2p2r2/2Qb4/3Pp1qp/4R3/5P1P/Q3KR2 w - - 13 49",419,634,593,678
"rn1qkb1r/1p3b1p/2p2np1/p4p2/2P2B2/PNNP2PB/1P5P/R2QK1R1 b kq - 0 12",104,95,93,79
"5k1r/p3np2/Np3n2/4p2p/7R/1P2PP2/P2P4/4KB2 w - - 1 15",44,-16,-12,16
"8/5pk1/r2pn3/2p1rp1R/2P4P/4P1P1/4BP2/3R1K2 w - - 2 37",265,122,103,137
"rn3rk1/pN2qp2/2p1p1p1/P6p/1p1P4/1PP2Q1P/5PBb/R4R1K w - - 0 18",54,-67,-33,-23
"8/6pk/p7/1r1R1b2/2p2P1p/5N1P/6P1/6K1 w - - 0 41",-66,-85,-75,-93
"8/5k2/8/4n3/p7/2N5/2K5/8 b - - 5 75",13,42,24,24
"6k1/4nppp/1r6/pp2PP2/3rBB2/7P/PP3P2/4R1K1 w - - 3 20",-69,81,81,49
"4r1k1/p7/1p1q4/6p1/P1PPp2p/4Qb2/R4P2/2B3KR b - - 3 28",-141,-48,-50,-133
"r2qkb1r/1p1b1pnp/p3p1p1/n2pP3/3P3P/P1NB1PP1/4NK2/1RBQ3R b kq - 0 12",31,4,18,42
"5bk1/1r3bpp/5n2/3p1P2/1N1q1NP1/B3R3/8/2R3K1 w - - 0 29",-452,-732,-714,-703
"rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18",-277,-177,-221,-221
"8/3k1pp1/4p3/b6p/P2P1n2/Br6/2RP1PPP/3R2K1 w - - 5 30",407,330,319,309
"3r2k1/6p1/4r3/3n1pq1/2Q1p3/1P4P1/P2P2P1/R4N1K w - - 1 31",-530,-405,-413,-413
"4r1k1/8/8/8/P3p3/2B3P1/1P5r/2KR4 b - - 0 41",0,-12,-9,-27
"8/8/2k3p1/6Rp/2P1b2P/7r/4K3/8 w - - 3 37",-469,-435,-414,-452
"k6r/3b4/P2qpR2/P2p1Q2/1p1P4/2P3p1/4B1K1/1R3N1r w - - 0 28",187,465,414,422
"5k2/p4p2/2B2n1p/2P5/1P1PpP2/P6P/2r3r1/R4K1R b - - 6 35",501,42,21,0
"8/p3kpp1/1p1p4/3PrP1p/1PP1nR1P/P2K4/4BP2/8 b - - 19 37",-42,-123,-142,-169
"r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20",245,77,51,69
"8/2p1k3/3Rb1q1/8/1p3Q2/8/r4PP1/4R1K1 b - - 0 29",231,171,170,166
"r3kr2/1p2q3/4bpP1/p2pp2Q/P2B4/2P2R2/2P3PP/4R2K b - - 0 29",-130,-200,-158,-158
"4k3/2p1n2r/p3p3/1b2Ppp1/4N3/4P1PP/Pr3RB1/3R2K1 b - - 0 19",-129,-17,-70,-136
"4Bk2/1pp5/6R1/p2PP2p/P1KP4/5r1P/3r1b1P/2R5 w - - 1 28",-226,-137,-146,-146
"8/k7/1p2pR2/pB1p3b/Pb1P3r/1P6/2K5/2B5 w - - 0 42",-5,-41,-75,-71
"r1bq1rk1/1p2npp1/2p4p/3p1n2/Pb1Pp3/1NN1P1P1/1BP1BP1P/R2Q1K1R b - - 8 17",259,75,119,106
"8/p1p4q/2p4k/2P1Pr1p/P3Qbb1/8/1B6/1K3R2 b - - 4 31",476,483,479,573
"3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28",-181,13,4,37
"7r/2p2k2/3p3B/3p1PP1/1P1P3K/p1P5/P4R2/1b6 w - - 3 42",333,216,217,244
"1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23",191,198,128,142
"r2qkb1r/p4ppp/4pn2/1P6/1n1p2P1/5P2/1BPP1N1P/R2QK1NR w KQkq - 1 9",-8,-9,19,32
"2bq1r1k/R6p/1r1b4/2p1n3/3p1p2/3P1N1B/5P1P/Q3RK2 w - - 4 26",-385,-552,-614,-614
"2r3rk/3b3p/R4n1p/2p2p2/2nP4/2N3P1/P1P2PB1/4R1K1 b - - 0 22",247,203,141,123
"r1b2rk1/pppn2bp/4pnp1/P7/5P2/6PP/1PP3B1/R1BNK1NR w KQ - 1 11",70,5,18,27
"2bqk3/1p3r1p/4r1p1/p3Bp2/P1Np4/1Q4P1/1PP3P1/5RK1 w - - 5 19",-130,-140,-134,-136
"8/7r/7P/3k4/8/8/8/7K w - - 2 52",-485,-463,-480,-479
"rn3rk1/qp2bpp1/4pn2/2Pp3p/5B1P/P2PPPP1/3QN3/RN2K2R b KQ - 0 14",92,45,6,12
"5k2/1p2pp2/7p/4P2P/3q4/1K2Nn2/1P3Q2/8 b - - 5 37",479,335,344,323
"r1b1kbr1/1p3p1p/p7/4q1p1/1n1NN3/4P3/PQ3PBP/3R1RK1 b q - 4 16",-110,189,136,119
"6r1/6P1/2p1k3/4pbRp/1Pp1N2P/r1P1K3/8/2R5 b - - 3 39",-211,-228,-234,-225
"2r5/p2ppk1p/4qnp1/1Q6/P4R2/2N1P1PP/P1KP4/8 b - - 6 22",16,50,28,27
"3q4/5kp1/4p3/3b1ppP/3Q1P2/4P1R1/3P1K2/3r1B2 w - - 0 34",152,187,158,182
"8/8/6Bp/4k2P/1p6/p6r/K4R2/8 w - - 25 58",22,23,10,5
"4R3/8/8/5kp1/4p2p/3r2PK/8/8 w - - 0 53",-479,-473,-523,-523
"r5k1/3p3p/1pbqpp2/n4p2/2P2P2/4N3/1Q2B1PP/1N1R2K1 b - - 0 19",-134,114,102,93
"r2b1rk1/5q2/bp1p1np1/2nPp1Bp/2P1P2P/2N2P2/1R1QB1P1/R4NK1 b - - 2 24",-232,-153,-163,-210
"1rq2r2/Rp2ppk1/2bp1np1/8/3N4/1PN4P/1P1Q1PP1/4K2R b - - 2 17",310,131,131,144
"4r3/1p4pk/1p5p/3RP3/1P3R1P/8/2PKN2r/8 b - - 2 26",-489,-290,-304,-355
"8/4rkpp/5n2/8/6P1/8/6KP/2B2R2 b - - 0 32",10,87,47,50
"2b2r2/5k2/2p2p1p/P2n4/2B5/4P3/2nP2PP/1R3RK1 w - - 1 19",516,436,408,373
"8/8/1pB2k2/5p2/7p/2r1bP1K/6R1/8 w - - 10 48",-222,-341,-365,-352
"3r4/5k1p/p4pp1/3P4/P3RP2/7P/5KP1/8 w - - 5 34",54,115,163,153
"8/p1pp1rk1/6p1/3Pq2p/1P6/P2RP2P/6B1/6K1 b - - 5 29",699,608,608,702
"r3kb1R/ppp1qpp1/2n5/3pp1N1/5P2/PP2P1p1/1BPPN1P1/2KR4 b q - 1 17",242,82,98,73
"r2k1b1r/2p1n3/1p1n2q1/p2P4/P1N1N1p1/R2Q1p1p/1PP2P2/2BK3R w - - 0 21",-78,-47,-76,-38
"r4rk1/pp2b1p1/4pn1p/2pp4/5B1P/P1N1P3/1PP1BPP1/R3K3 b Q - 1 14",222,161,155,156
"1k1r3r/1bp1qpb1/pp5p/1N1n2p1/1PQ1P3/P4P2/R3B1PP/2B1K2R w - - 0 17",-292,-47,-85,-97
"r3k2r/1pB1p3/q6b/pNpP1p2/P1P1p1n1/8/1P2QPp1/R3K1R1 w Qkq - 0 17",-15,-8,-28,-29
"8/1pk4r/6R1/4N3/P3K1Pp/1r6/8/8 w - - 2 49",-435,-173,-248,-317
"6k1/1p3r2/1p2Q3/6q1/3B4/8/rPB5/7K w - - 1 34",410,0,171,135
"2R5/8/1k1P3p/p5rP/5p2/Bp6/1P3r2/7K b - - 7 60",523,600,408,562
"8/p7/1p3pPk/1Pp4P/P1Pq4/1KQ5/8/8 b - - 11 43",46,-136,-123,-75
"8/5pk1/6Pp/8/5r2/2R4P/5PK1/8 w - - 0 33",13,185,180,178
"b2q1rk1/5ppp/1pp2n2/4n3/1b1p4/2N1P3/2PP1NPP/2BQKB1R w - - 0 10",-292,-23,-96,-88
"r1br2k1/1p3pp1/p1n4p/8/P4p2/2RB4/1P1N2PP/5R1K b - - 2 16",372,331,346,384
"6r1/2k5/2r5/pp4P1/5R1P/1b6/8/1K2R3 w - - 0 34",-330,-213,-246,-213
"8/3k4/6n1/6P1/8/8/3K4/8 b - - 4 62",2,234,245,266
"1r3b1k/2r2pp1/4p2p/2p1P2P/q2pQ3/3RP1PK/5P2/2BR4 b - - 0 36",94,101,141,103
"4r3/1k4pp/1pR5/p7/7P/Pr1N2B1/8/R4K2 w - - 1 27",350,181,107,189
"1r6/5pkp/6p1/8/3qR3/5P2/4BPK1/8 w - - 0 34",334,183,224,226
"8/ppp5/2krQ3/8/3B4/q1P1K3/P4P2/6Nb w - - 4 30",0,-86,0,0
"rk1q2r1/ppp5/2n4p/2b2B2/5P2/2P2QPP/PP1B2K1/3R4 b - - 4 24",411,181,133,120
"6R1/7p/3pk2P/p7/P1PK4/8/6p1/5b2 b - - 0 41",-169,72,33,0
"7r/4k2p/5p2/2b2p2/b7/3B3P/5RP1/3R2K1 w - - 0 23",11,-38,-36,-27
"2q4k/p1N1nr2/b1p4p/3pP3/Pr5P/4PP2/1PQN4/R3K1R1 w - - 1 21",362,327,380,385
"r2q3r/1p1b2k1/3b2p1/Pp1PN3/1p2RPp1/1P5P/5P2/R1BQ2K1 w - - 0 18",396,370,370,310
"2r5/3p1k2/p2Qpn2/5p2/2P5/2N3rq/PP2B1b1/3RK1R1 w - - 0 28",-172,-80,-83,-105
"1r1q1rk1/1p2bpp1/p1npbn1p/2p1p3/P3P3/2NPB2P/1PPNBPP1/R2Q1RK1 b - - 0 10",43,2,36,29
"3k1b1Q/3n4/5p2/1p3N2/2pPp1q1/8/P1R1RK2/3r2N1 w - - 8 41",-40,-28,-143,-117
"2kb2r1/5bP1/p7/1pp2P2/5PP1/NP2r3/PBP5/1K1R3R w - - 0 28",687,470,483,520
"r4rk1/1p2b1p1/4qn1p/8/1pPP1R2/1Q3NPP/3N1PK1/1R6 b - - 2 20",-112,-4,-50,-61
"4r2r/1ppk2pp/p2bpp2/8/1P2R3/2BP2P1/1P5P/1K2R3 w - - 4 22",-439,-180,-221,-189
"8/p5R1/Pp1k4/5q2/3B4/4K1PP/8/8 w - - 4 51",-37,205,184,138
"r6r/pp2k2q/2npPb1p/2pQ4/2P2B2/6RB/PP5P/5RK1 b - - 6 22",-364,-172,-193,-168
"1r4k1/2p2b2/8/3Pp1p1/1b2B3/6N1/P1p2B1P/1R4K1 w - - 0 31",489,275,373,425
"r1b1kn2/1pq1bp2/p1pp3r/4p1pn/3PP3/1BN1BP2/PPPQNR1P/R6K b q - 1 13",148,-73,-90,-57
"6k1/p2r1q1p/p1b2pp1/5r2/2PB1N2/1Q6/P2R1PP1/6K1 w - - 3 31",-282,-179,-194,-194
"2k5/8/pp2p3/2p2p1p/2Pn1P2/PP1N2PP/8/2N2Kb1 b - - 2 28",44,137,136,139
"r3qbkr/pp5p/2pp1n1p/4n3/7R/P1N2NP1/1P2QP2/R1B2K2 b - - 1 16",66,155,151,134
"r5k1/2pb1ppp/3b2r1/P7/3B4/P3PP2/3P1KPP/R6R w - - 1 22",-279,61,44,44
"8/5n2/4b2p/8/4kNPK/4Pp2/5P2/8 b - - 29 74",175,241,248,256
"rnb1kbnr/pp3q1p/2pp4/4p1B1/2N1PNp1/2Q4P/PPP2PP1/R2K1B1R b kq - 0 10",-51,-31,7,-16
"8/8/5K2/1QP1p2p/3p4/k7/7r/8 b - - 0 56",-397,-271,-290,-322
"4r2k/p6p/2b5/4qp2/3R4/7P/1P3PP1/3Q2K1 w - - 1 29",-221,-168,-194,-216
"5r2/1r5k/8/6p1/6N1/4P3/R4PK1/8 b - - 27 67",19,-26,-16,-17
"r5k1/p4pb1/1pr1p1p1/3q2Pp/3pR2P/P2P2B1/1PP2P2/1R1Q2K1 w - - 3 18",-194,66,63,38
"7r/4p2p/1pk1np2/p1p5/P1P2P1n/2P5/4KP1P/4RNR1 w - - 10 27",310,150,150,150
"5r1r/1kp5/4p3/RPb1p2p/3BP1pP/3P2N1/1Q3qP1/3K3R b - - 0 32",234,139,156,142
"2q1k2r/2pp2p1/1p1P1p1p/4n3/4P1P1/1PQ5/P1P3BP/5RK1 b - - 0 17",-66,-117,-95,-101
"1r2qrk1/1bppb1p1/np3n1p/p2N2P1/2PpP2P/P2B4/1PQBN3/1K1R3R b - - 0 15",-193,-17,-61,-61
"3r4/PP6/2R3pk/8/8/8/1K1p2p1/3Rr3 b - - 0 47",215,445,444,454
"r6r/1p1n1kpp/p1b1pp2/P7/4P3/2P1B2P/2PN1KP1/RR6 w - - 0 19",-48,-6,-10,0
"r2qk2r/1bp1b3/pp2p2p/1P1pP2P/P5P1/1nPP3R/3BQ1B1/RN2K3 w Qkq - 1 16",-104,46,48,60
"2r3k1/4bp2/5npp/4qb1P/1P1N4/4PB2/1QP3R1/2KR4 w - - 5 28",255,168,177,194
"1k5r/2q2pp1/p3b3/3r2N1/PpNp4/1P1P3p/2P2Q1P/1K1R1R2 b - - 0 24",-56,170,145,140
"2bq1bnr/rkN2ppp/1pp2n2/p7/P1BPp3/6B1/1PP2PPP/R2QK1NR w K - 5 9",31,43,16,-5
"4k2r/q3bppp/2n1p3/2Pp3n/3P3P/5P2/1P1RN2B/3QK3 b - - 2 18",556,349,331,331
"8/3B4/8/6p1/1b1k4/p7/K7/8 w - - 8 71",-403,-354,-375,-393
"r1b1k2r/pp1p1ppp/3p1n2/3Pp3/2P5/3BB2P/PP3PP1/R3K2R b KQkq - 0 13",-67,25,25,33
"r3r1k1/5ppp/P3qn2/R1p5/3P4/1PP2NbP/1K4P1/1N1Q1R2 w - - 0 24",213,234,220,217
"2rqk2r/pp2b1pp/3p4/3Bp1P1/b2p4/3P3P/1PPBQP2/2KR3R w - - 1 13",-98,-76,-134,-149
"1rb2rk1/2pp2p1/2nqp3/p4p1p/P2P2nP/2Q1PN2/1P1NBPP1/2R2RK1 w - - 0 13",72,101,77,114
"7Q/4kp2/2pr1q2/1p4p1/3P1bP1/2K5/3P4/1R5R w - - 8 48",113,73,17,90
"q5k1/1p3pp1/1R3n1p/P1p2P2/2N5/3r2P1/3B3P/4R1K1 b - - 1 24",359,110,205,230
"5bk1/p2r4/1p4p1/2pnN2p/P2p3P/1R4P1/3B1P2/1R4K1 b - - 2 37",-360,-286,-242,-263
"2k1r3/5pp1/p1b5/2N4p/4N1PP/4KP2/P1PR3q/1R6 b - - 1 23",254,36,35,67
"8/pk2q1p1/1pn5/2p5/2PpQ1P1/P2r4/P7/R1B1nK2 w - - 0 24",-454,-342,-329,-376
"k1r1b2R/8/1p1Bp3/pP1pPp2/P1pr4/8/2B5/4K3 w - - 0 47",-283,-360,-362,-325
"r7/1pp1k1pp/4b3/pPP1p3/P2rP2P/4K3/6P1/RN5R b - - 2 20",233,125,146,137
"4r1k1/R6R/8/2N1p3/1n1p4/3P4/2r5/4K3 w - - 6 33",15000,15000,15000,15000
"8/8/8/8/1P6/6Kp/8/3k4 w - - 0 62",677,495,724,749
"6kr/3nppbp/3p2p1/1N1P4/2P2P2/3bB3/q2N2PP/2Q1K2R b K - 0 20",313,80,122,114
"8/8/8/5kpp/5b2/8/2r5/4R2K b - - 4 57",561,796,845,900
"3r3r/pp3k2/5q2/7P/P1P3Q1/1P2R1P1/4B3/2B1K2b b - - 0 23",-176,-56,-131,-131
"2rr2k1/1p1nqpPp/4p3/6P1/p2pPPN1/8/5Q2/1R3BK1 b - - 0 31",225,349,349,349
"5kn1/p2r4/1p2p1pp/1P3p2/2PP4/3P3P/n1KB1P1P/5B1R b - - 2 20",-482,-208,-275,-305
"6k1/R7/1p1P4/6b1/1N2p2p/2r5/P1P2K2/8 w - - 0 37",16,-27,-4,-20
"8/1pkb1q1p/r2p1b1p/p2P1p2/PpN2Q2/3RRN2/2P3r1/2K5 b - - 1 22",601,485,485,580
"r4rk1/1p3pp1/2n5/1R2p3/pn2P2p/Nb1P1NqP/1P1QB1P1/5R1K w - - 2 18",249,42,1,10
"r3k1r1/pRp2p1p/4p1q1/8/3P3P/P1P2Qn1/P5PR/4K1N1 b q - 0 16",103,-8,-13,-3
"r1b1k3/2p2rp1/p3p2p/4np2/4n3/BP1B3P/P4PP1/3RK2R w Kq - 0 15",-433,-199,-222,-209
"3Q4/2K2k2/8/8/8/8/8/8 w - - 1 62",538,841,853,862
"r4k2/8/3K4/8/8/1R6/8/8 w - - 6 78",15,36,34,32
"8/5k2/7p/3p2p1/2n4P/P7/6K1/2B5 b - - 0 41",43,174,174,191
"6r1/8/3R4/kp3P2/4PK1n/P6P/5R2/6r1 b - - 10 53",24,-68,-78,-78
"r1bqk2r/1p4pp/n6n/p1p5/1NPpp3/1PN1P3/PB3PPP/R1Q1KB1R b KQk - 0 10",217,-43,-64,-63
"3rk1r1/pp1nbp1p/1qp1p1b1/8/3PPQ1P/P1NR3B/1PP4B/2K2R2 w - - 7 21",294,-44,-47,-47
"8/1k1p3p/p1b4P/8/8/3r2q1/2K5/2R1R3 w - - 0 35",-601,-887,-864,-929
"8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47",108,-42,54,53
"8/7p/4pk2/2p2p1B/5P2/2b1N3/3n1P2/6K1 w - - 0 40",-341,-256,-255,-271
"3r1rk1/2p4p/p4q2/1pQbnp2/5P2/5N1P/P3R1P1/4R1K1 w - - 0 29",18,62,6,-9
"8/6k1/p2r4/Pp1p2P1/1P6/1KPR3R/8/4r3 w - - 8 50",400,164,191,217
"r5k1/5p2/2p3p1/p1B5/4P2p/5B1P/Nr3PP1/2R3K1 b - - 0 28",-161,-199,-193,-188
"3b4/1p1k1p2/p1p1b1p1/P1P5/2P2K2/2BB4/5P2/8 w - - 2 41",-240,-106,-117,-119
"1rbqk2r/2pp1ppp/p3p3/P1b1n3/2P1P3/2N4P/RP2BPP1/2BQ1RK1 b k - 0 9",13,26,32,41
"r3k2r/pbqn1pbp/4p3/1P1p2P1/1Bpn4/2N2N1R/P4P2/1RQ1KB2 w kq - 0 14",-225,-110,-143,-121
"b5r1/6pk/7p/8/8/8/6QP/6RK w - - 1 44",-17,-104,-79,-103
"3qr1kb/5p1p/b1n3pP/p1p1n1P1/1p1p1B2/3P1P2/PPP1N1B1/R2Q1RK1 w - - 0 20",112,283,305,266
"8/3b2k1/3P4/K7/8/8/8/8 w - - 0 77",29,-104,-218,-303
"1k2r3/1pnq4/3b4/p2p3p/P5p1/1P1Q2P1/NB3P1P/2R3K1 w - - 4 27",43,39,-22,14
"5r2/1bp2rkp/p1n3p1/1pP1p3/4B2P/2P1RP2/P2N1K2/4R3 b - - 3 23",121,97,78,106
"2R5/8/8/p6k/8/5P2/6K1/r7 b - - 9 51",3,68,78,51
"r3kb1r/ppp1n1pp/1n2bp2/1P2p3/P3N1P1/2P2N2/5P1P/R1BK1BR1 b kq - 0 9",176,144,120,97
"R7/7r/7P/4p3/6p1/3K2P1/p7/2k5 b - - 13 59",12,384,405,405
"6br/6k1/2pR4/p3RpNp/P1p2P1P/6K1/1P6/8 w - - 2 35",682,860,860,946
"8/5B2/R7/6P1/2p5/pr6/1k3P2/6K1 b - - 0 44",18,-79,-34,-2
"1rb1kb1r/5ppp/n3p3/1q2P3/pppRBNQ1/6P1/1PP2P2/1NB3K1 b k - 0 14",153,390,417,391
"6nr/1N1kb1pp/1n6/3bpp2/p7/P3P3/5PPP/R1B1KB1R w - - 0 19",225,27,45,44
"rn1qk2r/p1p5/1p2p1pp/3b1p2/P1pPnP2/2B1PN2/1P2B1PP/R2Q1RK1 b kq - 3 10",77,96,93,91
"r2qk1r1/p1p1b2p/1pbp4/2n2p2/2P1P3/QPN2PP1/PB5P/R3KB1R b KQq - 1 12",-22,-82,-28,-73
"3r2k1/8/7P/8/pR6/Pb2B3/1K6/8 w - - 23 61",62,122,248,212
"8/p1p4p/P4p2/1k2pN1P/4K3/2b4P/8/8 b - - 3 33",451,361,354,268
"1n3k1r/rp4p1/1Np1b2p/p2p4/P2Pp3/P1N1P3/2P3PP/4KBR1 w - - 0 14",-356,-101,-118,-114
"6R1/2p5/2p4k/p1P3R1/K7/5q2/5P2/8 b - - 1 59",42,63,73,63
"1r1q1rk1/n1pnbp2/p5p1/2ppP1P1/N2p1P2/P2P4/3B2PK/2RQ3R b - - 1 18",281,301,289,287
"1r1r3k/6p1/Q3pp1p/4n3/2nq3P/6P1/R2B1PB1/3R2K1 b - - 4 35",498,298,293,311
"3k4/3r1p2/1q5p/4Q2P/1P2B3/2K5/8/8 b - - 7 45",294,136,123,125
"8/8/2p1k3/8/p1P5/3PB3/PPK5/5b2 w - - 12 42",81,345,345,345
"2r5/1p4k1/1q1b3p/1Pp2Q2/2b2P2/5NPP/6BK/3Rr3 w - - 1 33",447,88,69,154
"8/8/8/4Bp2/8/5kP1/1r6/7K b - - 15 80",512,321,296,313
"4Q1r1/3R4/3N4/1p1k4/1P6/5K2/8/8 b - - 0 46",-417,-737,-735,-736
"r3k2r/1bq2pR1/p3p2p/2bnP3/8/2PB1N2/2Q2PPP/2BR2K1 b kq - 0 17",-184,12,32,-51
"r1b2rk1/p3n2p/2n2p2/1BbN4/Pp6/8/1PP2PPP/RNB1K2R w K - 1 12",241,192,196,213
"2kr1b1r/3n1pp1/pp5p/4Pp1P/3B1P2/2PN1b1N/PPK5/4R1R1 b - - 4 18",48,-17,-15,40
"r1bqk2r/pp6/2pp1p1b/2n1n1pP/P3P3/2Q1N2P/1PP1BP2/R1B1K1NR w KQkq - 2 10",72,114,97,86
"3rk2r/pp2b1pp/2n2p2/5N2/3pp1P1/6P1/PP2P2P/RNB1K2R b KQk - 3 11",-97,90,36,40
"6k1/pp6/6P1/3n3r/Pb6/2B4P/6P1/1R5K b - - 0 40",285,365,315,345
"r2qk2r/1ppb1pb1/p1n1p3/3p1n1p/3P3R/P1NNPP2/1PPBQ1P1/2KR1B2 w kq - 2 10",129,-55,-55,-39
"8/4k3/2R1p1pp/2P1P3/p3KPP1/1r1B2P1/8/6b1 w - - 0 45",0,143,122,133
"1Q6/2K5/8/k5p1/P5P1/8/8/8 w - - 1 48",15000,15000,15000,15000
"r2k3r/1ppnn3/p2b1p1p/4p2q/4P2P/P1BP1N1B/1PK2Q2/R5R1 w - - 0 21",221,-8,41,84
"2r3k1/2r2pp1/3q1n1p/pP1p1Q2/PbnP4/2N3PP/5KB1/B1RR4 b - - 0 30",352,93,94,94
"1r6/R7/4b3/2p1kp2/2P1P3/1P1R1PPp/7P/6K1 w - - 0 35",505,560,555,542
"8/2p5/6R1/4p2k/4B3/3K2P1/5r2/3n4 b - - 13 57",15,57,107,99
"2kr2nr/pbqp2p1/1pn1pp2/8/1bP1P3/2N1BNPp/PP2BP1P/2RQ1RK1 b - - 4 10",-72,45,23,26
"r2q1rk1/1p2bppp/p1p2n2/2Pp4/1P1Q2b1/P1N2N2/4PPBP/R4RK1 b - - 5 10",262,159,100,115
"3rr1k1/6p1/5b1p/1R1b1p2/7P/5N2/1PQ2PP1/6K1 b - - 0 32",-141,-63,-55,-80
"2kr4/pp3pnp/2n1b3/b1B5/5r2/2NP1N2/P2K1RBP/5R2 b - - 6 22",499,300,444,445
"r1br2k1/7p/p1p4p/5p2/8/P3PPPP/P5B1/R4K1R w - - 0 15",92,66,81,100
"3q1k2/3n3p/2pN1nr1/3b4/2p4R/4Q2B/3PP3/4K3 w - - 7 22",-265,-177,-173,-152
"8/8/5p2/8/5k1P/8/4K1P1/8 b - - 0 68",-50,-91,-49,-42
"4Rn2/1pp5/3k3K/8/8/5P2/8/4r3 w - - 0 67",114,42,41,28
"8/4kp2/6p1/3b1p1p/1K1b1B2/8/2p3PP/r1N2B1R b - - 3 35",487,549,569,727
"r1bn3r/ppp1kp2/8/3Pp2p/7R/P1P5/1P3PP1/RN2KB2 w Q - 1 15",69,72,50,59
"1k6/2R5/1K6/8/8/8/8/8 b - - 12 69",-15000,-15000,-15000,-15000
"4rr1k/1p4pp/5n2/pPB1q3/1p2pb2/1Q5P/P1R1BPP1/4K2R b - - 8 19",367,169,159,234
"rnb4r/ppp1k3/3b3p/4pppP/1P4n1/P4N2/1BPNPP2/R3KB1R b KQ - 4 9",184,73,71,60
"8/5Bpk/5bp1/r7/6R1/7P/2K5/8 b - - 3 48",16,128,162,180
"1r3rk1/2q3b1/R1n1b2p/2p1pp1N/Q1p1p1pP/2B1P3/1P2B1P1/3R2K1 b - - 5 22",-53,170,180,153
"1k1r2r1/1ppq4/4bp2/p5pp/7P/2PBNPQ1/P1PB4/4RK2 w - - 3 18",102,-58,-41,-38
"r4rk1/p2b3p/1pnPqp2/4pnp1/3pP3/B2Q4/P3BPPP/1R3RK1 w - - 0 15",-170,-149,-150,-168
"3rbr1k/1p4qn/p1p4p/P1Pp1pn1/NP1PpNp1/4P1P1/KR2BP2/4Q2R w - - 6 30",-59,76,64,15
"r7/p2np1b1/2p1k1Np/3n3P/2N1p3/7P/PP1B1P2/R3KB2 b Q - 0 18",-501,-218,-218,-242
"r1bqkbr1/1pppp2p/8/1P3p2/1n4n1/P3P2N/1B1PB1P1/RN1QK1R1 b Qq - 0 9",126,-7,-5,-20
"8/2pk4/5rp1/2KP2R1/PP3r2/7p/8/7R b - - 2 46",63,43,98,64
"2b5/1k2q3/8/1p6/p7/5P2/4NQ2/5K2 w - - 0 44",-270,-114,-135,-156
"2kr4/pp1b3p/1q1b1Qn1/3pp3/5p2/N1PB4/PP4PP/R1B2R1K w - - 4 16",358,237,238,232
"5rk1/6pp/3q4/8/pp2Q2P/6P1/PP3P2/2R3K1 w - - 1 29",136,66,137,91
"r1b3nr/pp1k4/2pN3p/8/7q/2P1Q1n1/PP1B2P1/RN2KB2 w Q - 1 16",-108,-74,-76,-102
"r2qk2r/1p1nnpp1/2p1p3/p2pN2p/Pb1P1P1P/2N1P3/3P2P1/R1BQK2R w KQkq - 2 9",-249,-118,-113,-90
"n7/P3kp2/4p3/Q1p5/3q4/1P2N3/4K3/8 w - - 13 53",5,118,112,119
"r1bk1b1r/2qp2p1/p1n2nPp/2p2p1P/1p3P2/3P2N1/PPP1R3/R1BQKBN1 w Q - 4 12",-67,-45,-51,-91
"N1bk4/1p4pp/2p5/p1b5/2P3P1/1P2rN1P/n2K2B1/R7 b - - 1 27",260,213,233,235
"2r1k3/p4q2/1p2pb2/2pn1p2/8/1P1P1N2/P2B2PQ/4RK2 b - - 8 24",177,124,88,55
"1rb1k2r/Qp1np2p/5ppb/1NnB4/5P2/P1B3P1/3RP2P/2q2NK1 b - - 0 22",132,325,311,352
